2 7.422 [7.05048513792178, 7.7935148620782195]
3 17.624 [17.07776881847187, 18.170231181528127]
4 27.182 [26.531082782308253, 27.832917217691744]
5 34.756 [34.05034092967766, 35.46165907032234]
6 42.75 [41.975108712442, 43.524891287558]
7 49.217 [48.391052686763885, 50.04294731323611]
8 55.047 [54.24466631509666, 55.849333684903335]
9 62.879 [62.047997553887704, 63.71000244611229]
10 68.529 [67.63450207145132, 69.42349792854867]
11 75.225 [74.34666848532471, 76.10333151467528]
12 81.308 [80.37508774565147, 82.24091225434854]
13 88.217 [87.22872732489762, 89.20527267510238]
14 94.557 [93.52183327910402, 95.59216672089599]
15 100.756 [99.71800621210325, 101.79399378789675]
16 106.181 [105.098215703336, 107.263784296664]
17 112.472 [111.41651760078601, 113.52748239921398]
18 118.889 [117.7755564165378, 120.0024435834622]
19 124.267 [123.1304140108226, 125.40358598917739]
20 130.951 [129.81604613627292, 132.08595386372707]
