2 10.543 [9.96819849486058, 11.117801505139418]
3 25.245 [24.405368780190678, 26.084631219809324]
4 39.213 [38.18286479869605, 40.24313520130395]
5 51.893 [50.729835184113696, 53.056164815886305]
6 61.809 [60.548701217543055, 63.06929878245694]
7 72.137 [70.89670321258302, 73.37729678741698]
8 82.115 [80.72962877688624, 83.50037122311375]
9 89.094 [87.59493225598686, 90.59306774401313]
10 98.986 [97.5202171093335, 100.45178289066651]
11 109.758 [108.22550688523904, 111.29049311476095]
12 116.036 [114.49216695726145, 117.57983304273856]
13 123.538 [121.93138588109173, 125.14461411890827]
14 134.487 [132.7508636911865, 136.22313630881348]
15 141.91 [140.1596041282331, 143.6603958717669]
16 149.812 [148.12745381964123, 151.4965461803588]
17 157.317 [155.6116347727822, 159.02236522721782]
18 167.324 [165.51841353739846, 169.12958646260157]
19 176.091 [174.20605186049855, 177.97594813950147]
20 181.624 [179.75471562568873, 183.49328437431126]
